name,birth_date,death_date
Margaret Alva,1942-04-14,None
George Curtis,1919-12-03,2004-11-17
Rafael,1980-03-13,None
Jeff Alm,1968-03-31,1993-12-14
Willem Abraham Wythoff,1865-10-06,1939-05-21
Fabián Caballero,1978-01-31,None
Franz S Exner,1849-03-24,1926-10-15
Gino Bechi,1913-10-16,1993-02-02
Nazmus Sadat,1986-10-18,None
Nadif Chowdhury,1987-04-21,None
Harlow Wilcox,1943-01-28,2002-08-26
Maharaja P V G Raju,1924-05-01,1995-11-14
Hannah Cohoon,1788-02-01,1864-01-07
Nicola Santoni,1979-01-18,None
Dominique Eade,1958-06-16,None
Michael Silverstein,1945-09-12,2020-07-17
Karl Fritzsch,1903-07-10,1945-05-02
Atsushi Inaba,1971-08-28,None
Johan Afzelius,1753-06-13,1837-05-20
Vincenzo Sicignano,1974-07-08,None
Lu Shao chia,1960-11-09,None
Denilson,1976-09-04,None
Salvatore Lanna,1976-07-31,None
Sabina Gadecki,1983-09-28,None
Samuel Davenport,1818-03-05,1906-09-03
Lea Moreno Young,1977-11-10,None
Dariusz Gęsior,1969-10-09,None
Ilija Bašičević BosiljИлија Башичевић Босиљ,1895-07-18,1972-05-14
Hugh Davidson,1980-08-03,None
Henrique Feist,1972-08-07,None
Ondřej Herzán,1981-03-03,None
Grant Johnson,1972-03-24,None
Peter Latchford,1952-09-27,None
Alan Cottrell,1919-07-17,2012-02-15
Keko,1973-06-15,None
Federico Cossato,1972-08-07,None
Luke Chambers,1985-09-28,None
André Myhrer,1983-01-11,None
Ross Munnelly,1982-12-23,None
Derek Lilley,1974-02-09,None
Renaud Dion,1978-01-06,None
Lara Saint Paul,1945-04-30,2018-05-08
Chris Doig,1981-02-13,None
Giovanni Rector,1982-01-27,None
Dido Havenaar,1957-09-26,None
Sergio Pellissier,1979-04-12,None
Victor Wong,1972-02-26,None
Franco Fraticelli,1928-08-30,2012-04-26
Michio Takeyama,1903-07-17,1984-06-15
Rubén Toribio Díaz,1952-04-17,None
Jim Lauchlan,1977-02-02,None
Ademir Santos,1968-03-28,None
Vincent Marie Viénot de Vaublanc,1756-03-02,1845-08-21
Vasilisa BardinaВасилиса Бардина,1987-11-30,None
Jonas Borring,1985-01-04,None
Harry Piel,1892-07-12,1963-03-27
Sam Bowen,1952-09-18,None
Evgeny Korolev,1988-02-14,None
Bryan Anderson (American football),1980-03-30,None
Elton Patterson,1981-06-03,None
Antoni Szymanowski,1951-01-13,None
George Pinkney,1859-01-11,1926-11-10
Barry Bonnell,1953-10-27,None
Kelly Harrell,1889-09-13,1942-07-09
Steve Josue,1980-04-05,None
Paul Carter (baseball),1894-05-01,1984-09-11
Ivo Garrani,1924-02-06,2015-03-25
George Blaney,1939-11-12,None
Benoît Benvegnu,1985-01-18,None
DeAndrew Rubin,1978-10-08,None
Alexandre Bonnet,1986-10-17,None
Arturo Dominici,1916-01-02,1992-09-07
Gustav Küstermann,1850-05-24,1919-12-25
Walter Baddeley,1894-03-22,1960-02-11
Kristin Bengtsson,1970-01-12,None
Paul Walker,1977-08-20,None
Mike Mabry,1980-04-26,None
John W. Byrnes,1913-06-12,1985-01-12
Charles A. Wikoff,1837-03-03,1898-07-01
Dave Clark (baseball),1962-09-03,None
Scott Atran,1952-02-06,None
Henry Clarke (baseball),1875-08-04,1950-03-28
Robert Giroux,1914-04-08,2008-09-05
Shannon Spake,1976-07-23,None
Paddy Flanagan,1941-11-09,2000-11-21
Adam Foti,1984-02-20,None
Brendan Quigley,1986-01-19,None
Billy Adams (politician),1861-02-15,1954-02-04
Paul Tito,1978-06-09,None
Alexander Bassano,1829-05-01,1913-10-21
Helen Hardin,1943-05-28,1984-06-09
Len Rohde,1938-04-16,2017-05-13
Nesby Glasgow,1957-04-15,2020-02-25
My Parade,1989-02-08,None
Lionel Washington,1960-10-21,None
Vaggelis Koutsoures,1975-02-02,None
Éric Chelle,1977-11-11,None
José Mota,1979-05-10,None
John Sharp,1645-02-16,1714-02-02
Piers Lane,1958-01-08,None
Geff Francis,1964-11-09,None
André Le Nôtre,1613-03-12,1700-09-15
Kevin Gogan,1964-11-02,None
Thomas Naylor,1868-03-05,1958-12-24
Tony McGee,1949-01-18,None
John Sharp,1920-08-05,1992-11-26
Michael Buckley,1969-08-16,None
Peter Downsborough,1943-09-13,2019-09-26
Nikola MoushmovНикола Мушмов,1869-05-14,1942-01-31
Leandro Grimi,1985-02-09,None
Ken Clark,1948-05-26,None
Can Themba,1924-06-21,1967-09-08
Robert Bell,1841-06-03,1917-06-18
Bill Pronzini,1943-04-13,None
Ken Clarke,1956-08-28,None
Jaime Halsey,1979-08-16,None
Carl Hairston,1952-12-15,None
Andrew Bennison,1886-11-03,1942-01-07
Tom Smith,1985-12-26,None
Luis Bayón Herrera,1889-09-23,1956-03-30
Lyubov Lyadova,1952-11-17,None
Ryan Crowther,1988-09-17,None
Anthony Pilkington,1988-06-06,None
Adam Schreiber,1962-02-20,None
Gianluca Havern,1988-09-24,None
Salvatore La Barbera,1922-04-20,1963-01-17
Robert Anae,1958-12-21,None
Richard Kadrey,1957-08-27,None
Richard Tesařík,1915-12-03,1967-03-27
Rebecca Broussard,1963-01-03,None
Sergey Rakhmanin,1961-10-18,None
Julius Hoste Jr,1884-06-07,1954-02-01
Virginia Foster Durr,1903-08-06,1999-02-24
Marat Mukhanbetkazyuly TazhinМарат Мұханбетқазыұлы Тәжин,1960-04-08,None
Ed Ableser,1978-03-16,None
Marko Tuulola,1971-02-07,None
Allen Stanford,1950-03-24,None
Donald McSween,1964-06-09,None
John Chambers,1852-01-09,1928-07-10
Linda Kash,1961-01-17,None
Melvin Konner,1946-08-30,None
Sandra Mihanovich,1957-04-24,None
Carl Friedrich Wilhelm,1724-08-14,1807-01-09
Francesco Pezzulli,1973-05-15,None
Janusz Kochanowski,1940-04-18,2010-04-10
Miguel Ángel Lotina,1957-06-18,None
Chris Smith,1970-05-17,None
Keaton Ellerby,1988-11-05,None
Abdul Latīf Pedrām small nq عبداللطيف پدرام,1963-07-29,None
Emich Carl,1763-09-27,1814-07-04
Deborah Wiles,1953-05-05,None
Thomas A. Balmer,1952-01-31,None
Sir Frederick Warner,1918-05-02,1995-09-30
Hannes Arch,1967-09-22,2016-09-08
John Henry Barrow,1819-02-15,1874-08-13
Claudio Sorrentino,1945-07-18,None
Ay O,1931-05-19,None
Simon Coleby,1967-03-01,None
Preap Sovath ព រ ប ស វត ថ,1975-05-25,None
Bill Collins (outfielder),1882-03-27,1961-06-26
Jack Ferguson,1924-09-04,2002-09-17
David Obregón,1978-10-05,None
The Lord Sherbourne of Didsbury,1945-10-15,None
Mienoumi Tsuyoshi,1948-02-04,None
Brent Grose,1979-09-11,None
Brebis Bleaney,1915-06-06,2006-11-04
Elliott Nugent,1896-09-20,1980-08-09
W. K. Burton,1856-05-11,1899-08-05
Krzysztof Globisz,1957-01-16,None
Rachel Nolan,1974-03-13,None
James Pugh,1950-11-12,None
Ronan Browne,1965-11-09,None
John Elliot,1918-07-04,1997-08-14
Tanya Dziahileva,1991-06-04,None
Denis Joseph O Connell,1849-01-28,1927-01-01
Roger Smart,1943-03-25,None
Ignazio Arcoleo,1948-02-15,None
Théodrate of Troyes,0868-11-09,None
José Antonio de Armas Chitty,1908-11-30,1995-10-06
André De Vanny,1984-09-14,None
Désiré Dondeyne,1921-07-21,2015-02-12
Pascal Kané,1946-01-21,2020-08-31
Ken Iman,1939-02-08,2010-11-13
Bette Greene,1934-06-28,None
Jane Sutherland,1853-12-16,1928-07-05
Feng Zhi an,1896-12-16,1954-12-16
Raleb Majadele,1953-04-05,None
Ted Cottrell,1947-06-13,None
Gerd Liv Valla,1948-01-25,None
Dania Khatib,1973-02-13,None
Al Connelly,1960-10-02,None
Eldon Rudd,1920-07-15,2002-02-08
Ludovic Liron,1978-01-30,None
Jack Baddeley,1881-11-20,1953-07-01
Guillaume Rippert,1985-04-30,None
Ulvhild Håkansdotter,1095-11-09,1150-11-09
Anthony Spencer,1984-01-23,None
Harry Townes,1914-09-18,2001-05-23
Maxence Flachez,1972-08-05,None
Ramon Jolo B Revilla III,1988-03-15,None
Ramon Revilla Sr,1927-03-08,2020-06-26
Matt Moore (American football),1984-08-09,None
Freddy Bourgeois,1977-02-23,None
Murray S Klamkin,1921-03-05,2004-08-06
Jagmohan,1927-09-25,None
Yuki Kohara nihongo2 小原 裕貴,1980-05-21,None
Ingrid Ragnvaldsdotter,1110-11-09,1161-11-09
Samuel A Bill,1863-12-10,1942-01-24
Rodrigo de Souza Cardoso,1982-03-04,None
Harold Kelley (rugby league),1880-01-02,1948-07-07
Imam Mustafayev,1910-02-25,1997-03-10
Anthony Hembrick,1966-02-22,None
Ian Armstrong,1937-07-17,None
Ian Armstrong,1923-12-30,2005-11-09
Pierre Gilliard,1879-05-16,1962-05-30
Russell V. Mack,1891-06-13,1960-03-28
José Saez,1982-05-07,None
Thomas G Morris,1919-08-20,2016-03-04
Margaret Georgina Todd,1859-04-23,1918-09-03
Henry Cecil Lowther,1790-07-27,1867-12-06
Nicolas Penneteau,1981-02-20,None
Isidore Loeb,1839-11-01,1892-06-03
Edith Ewing Bouvier Beale,1895-10-05,1977-02-05
Roger Ward,1936-11-09,None
William Lowther,1821-12-14,1912-01-23
Victor Murdock,1871-03-18,1945-07-08
Ivano Trotta,1977-12-12,None
Larry Winn,1919-08-22,2017-12-31
Rich Sommer,1978-02-02,None
Harry McIntire,1879-01-11,1949-01-09
Jim Bean,1932-12-15,2013-07-07
Greye La Spina,1880-07-10,1969-09-17
Rae Baker,1973-11-19,None
Jay Canizaro,1973-07-04,None
Song Wencong,1930-03-26,2016-03-22
The Earl of Lonsdale,1818-03-27,1876-08-15
Irvin Smith,1967-03-12,None
Carlo Rezzonico,1724-04-25,1799-01-26
John Brown,1951-12-14,None
Ben Westwood,1981-07-25,None
J Erik Jonsson,1901-09-06,1995-08-31
Frank McGarvey,1956-03-17,None
Teolindo Acosta,1937-07-23,2004-08-02
Gill Fenerty,1963-08-24,None
David Satter,1947-08-01,None
Mark Gleeson,1982-07-16,None
Aime Forand,1895-05-23,1972-01-18
Filiz Akın,1943-01-02,None
Robert Pastor,1947-04-10,2014-01-08
Lars Jansson,1951-11-09,None
Lloyd Schwartz,1941-11-29,None
Stefan Korboński,1901-03-02,1989-04-23
Sebastian Clover,1987-01-15,None
Darren Brady,1981-11-09,None
Akram Khan,1970-10-10,None
Philippe Cousteau Jr.,1980-01-20,None
Jamie Buchan,1977-04-03,None
Camille Christophe Gerono,1799-11-09,1891-11-09
Suppakorn Kitsuwan,1972-12-28,None
Chartchai Ngamsan,1973-04-20,None
Robert Willis,1947-05-17,None
William McGillivray,1764-11-09,1825-10-16
Mark Gillespie (New Zealand cricketer),1979-10-17,None
Khalil Fong,1983-07-14,None
Graeme Holmes,1984-03-26,None
Enver Hadžiabdić,1945-11-06,None
Evie Dominikovic,1980-05-29,None
James Cotterill,1982-08-03,None
Marc Perrin de Brichambaut,1948-10-29,None
Gely Abdel Rahman,1931-11-09,1990-08-24
Dave Felgate,1960-03-04,None
Irwandi Yusuf,1960-08-02,None
David Briley,1964-01-08,None
"Samuel Segal, Baron Segal",1902-04-02,1985-06-04
Nicholas Kemmer,1911-12-07,1998-10-21
Issa Bagayogo,1961-11-09,2016-10-10
Hatta Rajasa,1953-12-18,None
Gary Birch,1981-10-08,None
Johnnie Heving,1896-04-29,1968-12-24
Zbigniew Gut,1949-04-17,2010-03-27
Martin C. Ansorge,1882-01-01,1967-02-04
Stuart Brock,1976-09-26,None
Peter McEvoy,1953-03-22,1953-03-22
Agum Gumelar,1945-12-17,None
Graham McTavish,1961-01-04,None
Kusmayanto Kadiman,1954-05-01,None
Philip Roettinger,1915-09-22,2002-01-07
Santiago Martínez Delgado,1906-11-09,1954-11-09
Eric Gordon,1988-12-25,None
Kieron Moore,1924-10-05,2007-07-15
Con Hunley,1945-04-09,None
Cheng Yung jen,1977-01-24,None
Nikola Nikić,1956-01-07,None
Damien Kelly,1958-09-27,None
Mark John Peter Jabalé,1933-10-16,None
Pavle Bulatović,1948-12-13,2000-02-07
Florin Bratu,1980-01-02,None
Jonathan Ward,1970-02-24,None
Yacine Bezzaz,1981-07-10,None
Mirsad Baljić,1962-03-04,None
Leo J Frachtenberg,1883-02-24,1930-11-26
Carl Wagner,1901-05-25,None
Don Pratt,1892-07-12,1944-06-06
Daniel D Whitney,1819-01-31,1914-11-10
Arthur Plugge,1877-02-17,1934-07-02
Greg Kragen,1962-03-04,None
Maggie Anderson,1948-09-23,None
Eugene Daniel,1961-05-04,None
Josh Blackie,1979-08-03,None
Andrej Jerman,1978-09-30,None
Robert Shaye,1939-03-04,None
Lyle Blackwood,1951-05-24,None
Darren Barr,1985-03-17,None
Glenn Blackwood,1957-02-23,None
Trevor Williams (bassist),1945-01-19,None
Will,1927-10-30,2000-02-18
Matan Naor,1980-11-03,None
Alexander von Winiwarter,1848-04-22,1917-10-31
Reggie Williams (linebacker),1954-09-19,None
Andrzej Kubica,1972-07-07,None
Kristaps Grebis,1980-12-13,None
Jidéhem,1935-12-21,2017-04-30
Balian Buschbaum,1980-07-14,None
Charlotte Alexandra,1954-11-19,None
Luigi Waites,1927-07-10,2010-04-06
Oļegs Šļahovs,1973-09-08,None
Fakhruddin Ahmed,1940-05-01,None
James Marsh,1963-04-30,None
Beau Williams,1950-01-06,None
Jack F Matlock Jr,1929-10-01,None
Alonzo Highsmith,1965-02-26,None
Karl Keska,1972-05-07,None
Dwight Stone (American football),1964-01-28,None
Ricky Nattiel,1966-01-25,None
Jovan Krkobabić,1930-02-27,2014-04-22
Andrew J. McDonald,1966-03-11,None
Robert Eisler,1882-04-27,None
Philippe Jaroussky,1978-02-13,None
Steve Marchand,1974-01-10,None
Asano Nagakoto,1842-08-28,1937-02-01
William Wirt Kimball,1848-01-09,1930-01-26
Harry Wheeler,1858-03-03,1900-10-09
The Earl of Yarborough,1859-06-11,None
Price Daniel Jr,1941-06-08,1981-01-19
Clark Howell,1863-09-21,1936-11-14
Clarence Kay,1961-07-30,None
Christoffer Karlsson,1988-01-27,None
Mikael Dahlberg,1985-03-06,None
Niels de Ruiter,1983-01-21,None
Dane Richards,1983-12-14,None
Ali Hamza Ahmad Suliman al Bahlul,1969-09-11,None
Joseph Early Widener,1871-08-19,1943-10-26
Roosevelt Leaks,1953-01-31,1953-01-31
Corey Ashe,1986-03-14,None
Sam Steiger,1929-03-10,2012-09-26
Karima Kibble,1974-04-08,None
Caleb Stark,1759-12-03,1838-08-28
Elaine Goodlad,1964-05-02,None
George F. Senner Jr.,1921-11-24,2007-10-06
Ismael,1978-02-27,None
Chris DeRose,1948-06-28,None
Maurice Edu,1986-04-18,None
Jorge Cafrune,1937-08-08,1978-02-01
Jarvis Moss,1984-08-03,None
Ralph Sazio,1922-07-22,2008-09-25
Rayco,1987-03-23,None
Braxton Powell,1944-11-23,2010-05-02
Mario Trujillo García,1905-01-18,2007-01-10
Brett Hauer,1971-07-11,None
Glen Dell,1962-04-09,2013-10-12
Therese Borssén,1984-12-12,None
Romaine Patterson,1978-03-31,None
Ruth Royce,1893-02-06,1971-05-07
Walter Harzer,1912-09-29,1982-05-29
Augustus A. Chapman,1805-03-09,1876-06-07
William Sackter,1913-04-13,1983-06-16
Jean Jacques Mandrichi,1984-06-03,None
Peter Ellis,1936-05-30,None
Thomas Hall,1869-06-06,1958-12-04
José Larralde,1937-10-22,None
Khachatur Tarontsi,1200-11-09,1184-11-09
Anders Post Jacobsen,1985-05-21,None
Lya Mara,1897-08-01,1960-03-01
Ulrik Johansen,1980-03-12,None
Mathieu Scarpelli,1981-07-23,None
Melba Montgomery,1938-10-14,None
Joseph DiVarco,1911-07-27,1986-01-05
Justice Erhenede,1986-08-19,None
Vildan Atasever,1981-07-26,None
Sean McDaid,1986-03-06,None
Mathias Lykke Hansen,1984-06-22,None
David Young,1931-09-02,2008-08-10
Mads Torry Lindeneg,1986-05-13,None
Rayad Emrit,1981-03-08,None
Alick Jeffrey,1939-01-29,2000-11-22
Christian Ristow,1970-07-02,None
Marusya Klimova,1961-01-14,None
Kenny O Dell,1944-06-21,2018-03-27
George W. Harkins,1810-11-09,None
David Elliot,1952-11-09,None
Richard Durrant,1962-11-02,None
Jeremy Adduono,1978-08-04,None
Captain Asa Howe Cory,1814-05-31,1892-06-06
Arvid Smit,1980-12-12,None
Stephen Baby,1980-01-31,None
Joell Ortiz,1980-07-06,None
Wallace Neff,1895-01-28,1982-06-08
Milutin Pajević,1920-11-11,1992-12-28
Maria Dahvana Headley,1977-06-21,None
Vojteh Ravnikar,1943-04-04,2010-09-17
Nikola Jovanović,1952-09-18,None
William H Brown,1836-11-09,None
Julian M. Quarles,1848-09-25,1929-11-18
Krister Linder,1970-02-09,None
Wilson Brown (Medal of Honor),1841-11-09,None
Peter Wolf,1952-08-25,None
Power Chan,1968-02-04,None
Mark Fraser,1986-09-29,None
John Alan Robinson,1930-03-09,2016-08-05
高義盛Gao Yisheng,1866-11-09,None
Rosario Candela,1890-03-07,1953-10-03
Patrick Mtiliga,1981-01-28,None
Jonathan Blanchard,1811-01-19,None
Agnes Tilney,1477-11-09,1545-05-09
David Taylor,1965-08-25,None
James H. Harris,1828-11-09,None
William L. Goggin,1807-05-31,1870-01-03
Thomas R. Hawkins,1840-11-09,None
Charles Champlin,1926-03-23,2014-11-16
Matt Wilhelm,1981-02-02,None
The Earl of Ducie,1827-06-25,None
Semere Russom,1943-07-27,None
Davern Williams,1980-02-13,None
Wayne Allyn Root,1961-07-20,None
Petr Johana,1976-11-01,None
Casey Moore,1980-07-26,None
Kenny Satterfield,1981-04-10,None
John Shields,1951-05-05,None
Donald W Steinmetz,1924-09-19,2013-08-31
Gail Z Martin,1962-12-01,None
Chris Johnson (cornerback),1979-09-25,None
George Rice Carpenter,1863-10-25,1909-04-08
Dave Toschi,1931-07-11,2018-01-06
Travis Dowlin,1977-02-24,None
J. T. Wall,1979-09-12,None
Gavin Tonge,1983-01-13,None
Sid Domic,1975-02-08,None
Tally Hall,1985-05-12,None
Nancy Varian Berberick,1951-11-09,None
Loyd Gentry Jr.,1925-08-29,2012-07-01
Chitrasena,1921-01-26,2005-07-18
Tang King-shing,1954-05-29,None
Induchoodan,1923-11-09,1992-06-14
Tando Velaphi,1987-04-17,None
Ryan McNeil (American football),1970-10-04,None
Giti Pashaei,1940-06-13,1995-05-07
Trevor R Bryce,1940-11-09,None
Sadeq Larijani,1961-03-12,None
Brooklyn Decker,1987-04-12,None
Peter Throckmorton,1928-07-30,1990-06-05
Harry Britt,1938-06-08,2020-06-24
Charles Taylor Sherman,1811-02-03,1879-01-01
Joe Barnes,1951-12-18,None
Lane Spina,1962-01-03,None
Joe Sutter,1921-03-21,2016-08-30
George Bass (archaeologist),1932-12-09,None
Alanson Beers,1804-08-19,1853-02-20
Jin Akanishi nihongo2 赤西 仁,1984-07-04,None
Franciscus Henri,1947-08-07,None
John Haynes Holmes,1879-11-29,1964-04-03
Taguchi Junnosuke,1985-11-29,None
Masao Maruyama,1941-06-19,None
Koki Tanaka,1985-11-05,None
Frank Cignetti Jr,1965-10-04,None
Cedric Minter,1958-11-13,None
Yūichi Nakamaru,1983-09-04,None
Alexander Vovin,1961-01-27,None
Tracy Gravely,1968-04-24,None
image,1940-12-23,1940-12-23
Meher Ali Shah,1859-04-14,1937-05-09
Alexander Lebedev,1959-12-16,None
Adolf Weil,1938-12-25,2011-05-12
Emily Schulman,1977-08-17,None
Olive Ann Beech,1903-09-25,1993-07-06
Ivan Bagramyan,1897-12-02,1982-09-21
Nina Dobrev,1989-01-09,None
Ian Rubin,1973-04-17,None
Laura Vandervoort,1984-09-22,None
Sophia of Denmark,1241-11-09,None
Bill Enyart,1947-04-28,2015-02-10
Helen Lundeberg,1908-06-24,None
Eleanor Oldroyd,1962-06-02,None
Tom Bruce,1952-04-17,2020-04-09
Tommaso Chiecchi,1979-11-12,None
Albert Paulsen,1925-12-13,2004-04-25
Gheorghe Bănciulescu,1898-12-28,1935-04-12
Alec Bennett,1897-11-09,None
Felicia Farr,1932-10-04,None
Clarence M Mitchell Jr,1911-03-08,1984-03-19
Michael J Devlin,1965-11-19,None
Gheorghe Brăescu,1871-01-30,1949-03-15
Francesco Carbone,1980-01-04,None
Robert Evans Snodgrass,1875-07-05,None
Szilveszter Csollány,1970-04-13,None
Nikolay Bogdanov Belsky,1868-12-06,1945-02-19
Phill Nixon,1956-03-13,2013-08-09
Imraan Khan,1984-04-27,None
Peter Pullen Shaw,1918-06-24,2003-01-29
Prabhakar Panshikar प रभ कर पणश कर,1931-03-14,2011-01-13
Paul Albert Hanvidge,1961-06-15,None
Aad de Mos,1947-03-27,None
Mildred Cohn,1913-07-12,2009-10-12
Tadeusz Dolny,1958-05-07,None
Tony Eccles,1970-01-08,None
Jon Balke,1955-06-07,None
Jan Jałocha,1957-07-18,None
Darren Van Oene,1978-01-18,None
Christoph Maria Herbst,1966-02-09,None
Adelaide of Paris,0853-11-09,0901-11-10
Freddie Waits,1940-04-27,1989-11-18
Jacek Kazimierski,1959-08-17,None
Andrzej Pałasz,1960-07-22,None
Hiroki Uchi Nihongo2 内 博貴,1986-09-10,None
Waldemar Matysik,1961-09-27,None
Camadevi,0633-11-09,0731-11-09
S nbsp G nbsp F Brandon,1907-11-09,1971-10-21
Charles Otis Whitman,1842-12-06,1910-12-14
Piotr Mowlik,1951-04-21,None
Piotr Skrobowski,1961-10-16,None
Viktors Hatuļevs,1955-02-17,1994-10-07
Sarfaraz Ahmed lang ur Nastaliq سرفراز احمد,1987-05-22,None
Manoj Tiwary,1985-11-14,None
Rudolf Holsti,1881-10-08,1945-08-03
Adam Huss,1977-03-01,None
Ryszard Tarasiewicz,1962-04-27,None
Dan Gillespie Sells,1978-09-20,None
Ryszard Komornicki,1959-08-14,None
Dariusz Kubicki,1963-06-06,None
Irakli Chkhikvadze,1987-10-05,None
Petko Voyvoda,1844-12-06,1900-02-07
Elias Peter Hoayek,1843-12-04,1931-12-24
Adam Simpson,1976-02-16,None
Karla Drenner,1961-09-10,None
Krzysztof Pawlak,1958-02-12,None
Jimi Jamison,1951-08-23,2014-09-01
William Travers Jerome,1859-04-18,1934-02-13
Sebastião Gilberto,1982-09-21,None
Jan Urban,1962-05-14,None
Şebnem Schäfer,1984-02-09,None
Kellyn Plasschaert,1958-11-26,2009-04-30
Valya Balkanska,1942-01-08,None
Robert Campbell,1971-04-25,None
Dalmo,1984-02-18,None
Mike O Brien,1954-07-24,2018-10-15
Alwyn Sheppard Fidler,1909-05-08,1990-01-04
Dani Morales,1975-12-06,None
Archduchess Maria Annunciata,1843-03-24,1871-05-22
Sathyan,1912-11-09,1971-06-15
Jun Etō,1932-12-25,1999-07-21
Sheela,1945-03-24,None
Bruce L Edwards,1952-09-05,2015-10-28
Mike Vernon,1944-11-20,None
QBoy,1978-10-10,None
Emmanuel Okoli,1973-11-13,None
Thomas Laybourn,1977-09-30,None
Kamilla Rytter Juhl,1983-11-23,None
James Sloan,1947-02-27,2009-06-24
Henning Stensrud,1977-08-20,None
Frank McDougall,1958-02-21,None
Joe Motzko,1980-03-14,None
Xiao Yanyan,0953-11-09,1009-12-23
Chloe Rogers,1985-03-30,None
Jan van Grinsven,1960-02-27,None
Narain Chand Parashar,1934-07-02,2001-02-21
Keith Quinn,1988-09-22,None
Stjepan Tomas,1976-03-06,None
John Ostell,1813-08-07,1892-04-06
Gert Kruys,1961-05-08,None
Silvio Coucci,1914-11-09,1942-01-05
Édouard Brissaud,1852-04-15,None
Georges Renavent,1892-04-23,1969-01-02
Jud Smith,1869-01-13,1947-12-07
Rt Rev Michael Domenec C M,1816-12-27,1878-01-07
Mike Iggulden,1982-11-09,None
Rt Rev John Tuigg,1820-02-19,1889-12-07
George C. McGhee,1912-03-10,2005-07-04
Harri Olli,1985-01-15,None
E T Cook,1857-05-12,1919-09-30
Yochanan Vollach,1945-05-14,None
The Lord Morton of Henryton,1887-10-17,1973-07-18
Jack Cashill,1947-12-15,None
Sultan bin Muhammad Al-Qasimi,1939-07-02,None
Theophilus Edward Ed McCully,1927-06-01,1956-01-08
Kevin van Dessel,1979-04-09,None
Ger Senden,1971-07-09,None
Erik Andersen (chess player),1904-04-10,1938-02-27
Jason Bowen (footballer),1972-08-24,None
Kristján Arason,1961-07-23,None
Bato Govedarica,1928-04-17,2006-03-13
Giuseppe Maria Buonaparte,1713-05-31,1763-12-13
John Belcher (architect),1841-07-10,1913-11-08
Kevin Ross,1962-01-16,None
Cozy Dolan (1910s outfielder),1889-12-23,1958-12-10
Martin Vyskočil,1982-09-15,None
Tom Thurlow,1989-12-11,None
Pedro Ramírez Vázquez,1919-04-16,2013-04-16
Tony Pennock,1971-04-10,None
Dan Maskell,1908-04-11,1992-12-10
Ian Hillier,1979-12-26,None
Joe Phillips,1963-07-15,None
Carl Ahues,1883-12-26,1968-12-31
Les Miller (American football),1965-03-01,None
Lee Jenkins,1979-06-28,None
Robert Douglas (American football),1982-07-25,None
Colm McFadden,2020-11-03,None
Allan Lutfy,1943-11-21,None
Joe Phillips,1969-02-13,None
Peter Glenville,1913-10-28,1996-06-03
Martin Bayless,1962-10-11,None
Rikissa Birgersdotter,1237-11-09,1288-11-09
Николай ХайтовNikolay Haytov,1919-09-15,2002-06-30
John Brough,1973-01-08,None
Ferenc Deák,1922-01-16,1998-04-18
Ludwig Rellstab (chess player),1904-11-23,1983-02-14
The Earl of Pembroke,1734-07-03,None
Cen Chunxuan,1861-11-09,1933-04-27
Merit Janow,1958-05-13,None
Matt Green,1987-01-02,None
Ray Beck,1931-03-17,2007-01-10
Bobby Linn,1985-10-10,None
Alfred B. Hilton,1842-11-09,None
Cyrus Lawrence,1960-11-15,None
Khyril Muhymeen,1987-05-09,None
Alma Hunt,1910-10-01,1999-03-05
Scott Young,1976-01-14,None
Gehan Mendis,1955-04-24,None
Edward Bowen Post nominals country,1780-12-01,1866-04-11
Abraham Woyna,1569-11-09,1649-11-09
Roger Freestone,1968-08-19,None
Iliyan Mitsanski,1985-12-20,None
Nigel Vaughan,1959-05-20,None
Colin Watson,1943-11-20,2006-05-24
Steve Lowndes,1960-06-17,None
Mark Kendall,1958-09-20,2008-05-01
Quincy Adams Gillmore,1825-02-25,1888-04-11
Anthony West (motorcyclist),1981-07-17,None
Georg Friedrich Parrot,1767-07-15,1852-07-08
Margie Bowes,1941-03-18,None
Maurice Owen,1924-07-04,2000-07-08
Sam Burton,1926-11-10,None
Isaac Witkin,1936-05-10,2006-04-23
Akwetey Mensah,1983-04-15,None
The Countess of Pembroke,1737-03-09,1831-04-30
Stasys Raštikis,1896-09-13,1985-05-03
Mike Esposito,1927-07-14,2010-10-24
Aysun Kayacı,1979-05-20,None
Terrance B. Lettsome,1944-08-28,2007-01-12
Maya Maron,1980-05-12,None
Miles James,1829-11-09,None
Ahmed Hassan,1979-04-12,None
Alexander Kelly,1840-04-07,1907-06-19
Friedrich-Wilhelm Bock,1897-05-06,1978-03-11
John A Agnew,1949-08-29,None
Todd Burger,1970-03-20,None
Abdelhamid Hassan,1972-09-24,None
Johan van Stratum,1982-04-15,None
Eugene Parks Wilkinson,1918-08-10,2013-07-11
Stephanie Rawlings-Blake,1970-03-17,None
Kasi Kelly,1981-10-01,None
John Lindsey,1977-01-30,None
Carl Sciortino,1978-07-06,None
Juan Carlos Osorio,1961-06-08,None
Iliana Fox,1977-01-03,None
Anthony Atala,1958-07-14,None
Beatrice Trew,1897-12-04,1976-06-04
Vincent DePaul Breen,1936-12-24,2003-03-30
John Cunningham (Royal Navy officer),1885-04-13,1962-12-13
Bartłomiej Macieja,1977-10-04,None
Bernard Membe,1953-11-09,None
John Baker Saunders,1954-09-23,1999-01-15
