name,birth_date,death_date
Dave Robisch,1949-12-22,None
Tameka Empson,1977-04-16,None
Osunlade,1969-03-13,None
Angelo Ruggiero Sr,1940-07-29,1989-12-05
Walter Williams (centenarian),1854-11-14,1959-12-19
Panos Michalopoulos,1949-01-15,None
Richard Yearwood,1970-06-22,None
Mike Dmitrich,1936-10-23,None
Dan Eastman,1946-03-12,2010-06-08
Eduardo P Hontiveros,1923-12-20,2008-01-15
Gene Davis (politician),1945-07-02,None
Jeff Lebo,1966-10-05,None
Thomas Clarke Theaker,1812-02-04,1883-07-16
Greg J Curtis,1960-10-18,None
David Clark,1953-07-03,None
Dewey Selmon,1953-11-19,None
Frank Lewis (American football),1947-07-04,None
Gordon E Snow,1946-09-22,None
Donald Newton Dedmon Ph D,1931-08-13,1998-02-13
Tracy Letts,1965-07-04,None
Brad King,1956-02-12,None
Sheldon L Killpack,1968-05-24,None
Sen Ed Mayne,1945-09-16,2007-11-25
Vlado Jeknić,1983-08-14,None
Dragan Bogavac,1980-04-07,None
Radomir Đalović,1982-10-29,None
Ed Smith (defensive end),1950-10-23,None
Novi Marojević,1973-04-11,None
Víctor Celorio,1957-07-27,None
Milorad Peković,1977-08-05,None
Francis Dodd (general),1899-10-05,1973-03-05
Roy Lee Williams,1915-03-22,1989-04-28
Brad Scioli,1976-09-06,None
Hans-Joachim Jabs,1917-11-14,2003-10-26
Brittany Underwood,1988-07-06,None
Howie Pollet,1921-06-26,1974-08-08
Adrián de Lemos,1982-10-13,None
Arthur Wood,1892-02-07,1951-03-01
Ai Weiwei,1957-08-28,None
Morgan Rawls,1829-06-29,1906-10-18
Joyce Giraud,1975-04-04,None
John Wilkie,1860-11-09,1934-12-13
Thomas Gould,1863-09-26,1948-03-30
Dan Morales,1956-04-24,None
Jimmy Wilburn,1908-11-25,1984-08-26
Narana Coissoró,1933-10-03,None
James E. Briggs,1906-05-05,1979-02-25
Joe Rogers (politician),1964-07-08,2013-10-07
Ja Lama,1862-11-09,None
Henry Curgenven,1875-12-22,1959-02-14
Hui Shiu hung,1948-11-04,None
Gary A. Olson,1954-12-12,None
Stuart Gauld,1964-03-26,None
Semyon Varlamov,1988-04-27,None
William Fairfield Warren,1833-03-13,1929-12-07
Jimmy McGeough,1943-07-14,None
Miron Constantinescu,1917-12-13,1974-07-18
Jonathan Young,1944-09-29,None
James Riely Gordon,1863-08-02,1937-03-16
Stewart Edward White,1873-03-12,1946-09-18
Paul Carlyle,1966-07-19,None
Roman Tsepov,1962-07-22,2004-09-24
Jim Heath,1966-04-20,None
Elizabeth Margaret Chandler,1807-12-24,1834-11-02
Red Mihalik,1916-09-22,1996-10-25
António Jacinto,1924-09-28,1991-06-23
Cathy Lewis,1916-12-27,1968-11-20
Fabio Ochoa Vásquez,1957-05-02,None
Bernard O Dowd,1866-04-11,1953-09-01
Haruka Shimotsuki,1986-11-15,None
Yelena Tregubova,1973-05-24,None
Jorge Luis Ochoa Vásquez,1950-09-30,None
Charles H. Willey,1889-03-31,1977-09-11
Bulaki Das Kalla,1949-10-04,None
Keshto Mukherjee,1905-08-07,1982-03-02
Arthur J Deikman M D,1929-09-27,2013-09-02
Frank Casper,1944-12-09,None
Nikolay Bordyuzha,1949-11-09,None
Tim Harris,1961-12-21,None
Zajko Zeba,1983-05-22,None
Lasse Gjertsen,1984-07-19,None
Tahmima Anam,1975-10-08,None
Gregoria A de Jesús,1875-05-09,1943-03-15
Stacey Roca,1978-09-12,None
James Street,1948-08-02,2013-09-30
Fay Coyle,1933-04-01,2007-03-30
